  illustration 1
 illustration velasquez 1
we know little 1
know little about 1
little about but 1
about but may 1
but may infer 1
may infer that 1
infer that it 1
that it was 2
it was largely 4
was largely aseries 1
largely aseries of 1
aseries of balances 1
of balances a 1
balances a symmetrical 1
a symmetrical adjustment 1
symmetrical adjustment of 1
adjustment of objects 1
of objects to 1
objects to fill 1
to fill agiven 1
fill agiven space 1
agiven space with 1
space with not 1
with not very 2
not very much 1
very much freedom 1
much freedom allowed 1
freedom allowed to 1
allowed to the 1
to the artist 1
the artist inatmosphere 1
artist inatmosphere sunlight 1
inatmosphere sunlight color 1
sunlight color and 1
color and those 1
and those peculiarly 1
those peculiarly sensuous 1
peculiarly sensuous charms 1
sensuous charms thatbelong 1
charms thatbelong to 1
thatbelong to painting 1
to painting there 1
painting there is 2
there is no 7
is no reason 2
no reason to 1
reason to believe 1
to believe that 1
believe that the 1
that the greeksapproached 1
the greeksapproached the 1
greeksapproached the moderns 1
the moderns their 1
moderns their interest 1
their interest was 1
interest was chiefly 1
was chiefly centred 1
chiefly centred in 1
centred in thehuman 1
in thehuman figure 1
thehuman figure landscape 1
figure landscape with 1
landscape with its 1
with its many 1
its many beauties 1
many beauties was 1
beauties was reserved 1
was reserved formodern 1
reserved formodern hands 1
formodern hands to 1
hands to disclose 1
to disclose color 1
disclose color was 1
color was used 1
was used in 1
used in abundance 1
in abundance without 1
abundance without doubtbut 1
without doubtbut it 1
doubtbut it was 1
it was probably 3
was probably limited 1
probably limited to 1
limited to the 1
to the leading 1
the leading hues 1
leading hues with 1
hues with little 1
little of thatrefinement 1
of thatrefinement or 1
thatrefinement or delicacy 1
or delicacy known 1
delicacy known in 1
known in painting 1
in painting todayart 1
painting todayart history 1
todayart history for 1
history for the 1
for the history 1
history of greek 2
greek painting we 1
painting we have 1
we have to 1
have to rely 1
to rely uponthe 1
rely uponthe words 1
uponthe words of 1
words of aristotle 1
of aristotle plutarch 1
aristotle plutarch pliny 1
plutarch pliny quintilian 1
pliny quintilian lucian 1
quintilian lucian ciceropausanias 1
lucian ciceropausanias their 1
ciceropausanias their accounts 1
their accounts appear 1
accounts appear to 1
appear to be 1
to be partly 1
be partly substantiated 1
partly substantiated by 1
substantiated by thevase 1
by thevase paintings 1
thevase paintings and 1
paintings and such 1
and such few 1
such few slabs 1
few slabs and 1
slabs and roman 1
and roman frescos 1
roman frescos as 1
frescos as remain 1
as remain to 1
remain to usthere 1
to usthere is 1
usthere is no 1
is no consecutive 1
no consecutive narrative 1
consecutive narrative the 1
narrative the story 1
the story of 3
story of painting 1
of painting originatingfrom 1
painting originatingfrom a 1
originatingfrom a girl 1
a girl seeing 1
girl seeing the 1
seeing the wallsilhouette 1
the wallsilhouette of 1
wallsilhouette of her 1
of her lover 1
her lover and 1
lover and filling 1
and filling it 1
filling it inwith 1
it inwith color 1
inwith color and 1
color and the 2
and the conjecture 1
the conjecture of 1
conjecture of painting 1
of painting having 1
painting having developed 1
having developed fromembroidery 1
developed fromembroidery work 1
fromembroidery work have 1
work have neither 1
have neither of 1
of them a 1
them a foundation 1
a foundation in 1
foundation in fact 1
in fact theearliest 1
fact theearliest settlers 1
theearliest settlers of 1
settlers of greece 1
of greece probably 1
greece probably learned 1
probably learned painting 1
learned painting from 1
painting from thephoenicians 1
from thephoenicians and 1
thephoenicians and employed 1
and employed it 1
employed it after 1
it after the 1
after the egyptian 1
the egyptian assyrian 1
egyptian assyrian andphoenician 1
assyrian andphoenician manner 1
andphoenician manner on 1
manner on pottery 1
on pottery terracotta 1
pottery terracotta slabs 1
terracotta slabs and 1
slabs and rudesculpture 1
and rudesculpture it 1
rudesculpture it developed 1
it developed slower 1
developed slower than 1
slower than sculpture 1
than sculpture perhaps 1
sculpture perhaps but 1
perhaps but were 1
but were thereanything 1
were thereanything of 1
thereanything of importance 1
of importance left 1
importance left to 1
left to judge 1
to judge from 1
judge from we 1
from we should 1
we should probably 1
should probably findthat 1
probably findthat it 1
findthat it developed 1
it developed in 1
developed in much 1
in much the 1
much the same 1
the same manner 1
same manner as 1
manner as sculpture 1
as sculpture down 1
sculpture down to 1
down to bc 1
to bc there 1
bc there was 1
was little more 2
little more than 3
more than outline 1
than outline filled 1
outline filled in 1
filled in with 2
in with flatmonochromatic 1
with flatmonochromatic paint 1
flatmonochromatic paint and 1
paint and with 1
and with a 2
a decorative effect 1
decorative effect similar 1
effect similar perhaps 1
similar perhaps tothat 1
perhaps tothat of 1
tothat of the 1
of the vase 1
the vase paintings 1
vase paintings after 1
paintings after that 1
after that date 2
that date come 1
date come the 1
come the more 1
the more importantnames 1
more importantnames of 1
importantnames of artists 1
of artists mentioned 1
artists mentioned by 1
mentioned by the 1
by the ancient 4
the ancient writers 3
ancient writers it 1
writers it is 1
it is difficult 1
is difficult toassign 1
difficult toassign these 1
toassign these artists 1
these artists to 1
artists to certain 1
to certain periods 1
certain periods or 1
or schools owing 1
schools owing to 1
owing to theinsufficient 1
to theinsufficient knowledge 1
theinsufficient knowledge we 1
knowledge we have 1
we have about 1
have about them 1
about them the 2
them the followingclassifications 1
the followingclassifications and 1
followingclassifications and assignments 1
and assignments may 1
assignments may therefore 1
may therefore in 1
therefore in some 1
in some instances 1
some instances bequestionedillustration 1
instances bequestionedillustration fig 1
bequestionedillustration fig muse 1
fig muse of 1
of cortona cortona 1
cortona cortona museumolder 1
cortona museumolder attic 1
museumolder attic school 1
attic school the 1
school the first 1
the first painter 5
first painter of 2
painter of rank 2
of rank was 1
rank was polygnotus 1
was polygnotus fl 1
polygnotus fl bc 1
fl bc sometimes 1
bc sometimes called 1
sometimes called the 1
called the founder 1
the founder of 5
founder of greek 1
greek painting becauseperhaps 1
painting becauseperhaps he 1
becauseperhaps he was 1
he was one 11
of the first 7
first important painters 1
important painters in 2
painters in greece 1
in greece properhe 1
greece properhe seems 1
properhe seems to 1
seems to have 15
to have been 9
have been a 1
been a good 1
a good outline 1
good outline draughtsman 1
outline draughtsman producing 1
draughtsman producing figures 1
producing figures inprofile 1
figures inprofile with 1
inprofile with little 1
with little attempt 1
little attempt at 1
attempt at relief 1
at relief perspective 1
relief perspective orlightandshade 1
perspective orlightandshade his 1
orlightandshade his colors 1
his colors were 1
colors were local 1
were local tones 1
local tones but 1
tones but probably 1
but probably more 1
probably more likenature 1
more likenature and 1
likenature and more 1
and more varied 1
more varied than 1
varied than anything 1
than anything in 1
anything in egyptian 1
egyptian painting landscapesbuildings 1
painting landscapesbuildings and 1
landscapesbuildings and the 1
the like were 1
like were given 1
were given in 1
given in a 1
in a symbolic 2
a symbolic manner 1
symbolic manner portraiturewas 1
manner portraiturewas a 1
portraiturewas a generalization 1
a generalization and 1
generalization and in 1
and in figure 1
in figure compositions 1
figure compositions the 1
compositions the names 1
names of theprincipal 1
of theprincipal characters 1
theprincipal characters were 1
characters were written 1
were written near 1
written near them 1
near them for 1
them for purposes 1
for purposes ofidentification 1
purposes ofidentification the 1
ofidentification the most 1
the most important 8
most important works 2
important works of 2
works of polygnotus 1
of polygnotus were 1
polygnotus were the 1
were the wallpaintings 1
the wallpaintings for 1
wallpaintings for the 1
for the assembly 1
the assembly room 1
assembly room of 1
room of the 1
of the knidians 1
the knidians at 1
knidians at delphi 1
at delphi thesubjects 1
delphi thesubjects related 1
thesubjects related to 1
related to the 1
to the trojan 1
the trojan war 1
trojan war and 1
war and the 1
and the adventures 1
the adventures of 1
adventures of ulyssesopposed 1
of ulyssesopposed to 1
ulyssesopposed to this 1
to this flat 1
this flat unrelieved 1
flat unrelieved style 1
unrelieved style was 1
style was the 1
was the work 1
the work of 11
work of a 3
of a followeragatharchos 1
a followeragatharchos of 1
followeragatharchos of samos 1
of samos fl 1
samos fl end 1
fl end of 2
end of fifth 2
of fifth century 2
fifth century bc 2
century bc he 1
bc he was 1
he was ascenepainter 1
was ascenepainter and 1
ascenepainter and by 1
and by the 1
by the necessities 1
the necessities of 3
necessities of his 1
of his craft 1
his craft was 1
craft was led 1
was led towardnature 1
led towardnature stage 1
towardnature stage effect 1
stage effect required 1
effect required a 1
required a study 1
a study of 5
study of perspective 1
of perspective variation 1
perspective variation oflight 1
variation oflight and 1
oflight and a 1
and a knowledge 1
a knowledge of 3
knowledge of the 4
of the laws 2
the laws of 3
laws of optics 1
of optics the 1
optics the slight 1
the slight outlinedrawing 1
slight outlinedrawing of 1
outlinedrawing of his 1
of his predecessor 1
his predecessor was 1
predecessor was probably 1
was probably superseded 1
probably superseded by 1
superseded by effective 1
by effective massesto 1
effective massesto create 1
massesto create illusion 1
create illusion this 1
illusion this was 1
this was a 4
was a distinct 1
a distinct advance 1
distinct advance toward 1
advance toward natureapollodorus 1
toward natureapollodorus fl 1
natureapollodorus fl end 1
century bc applied 1
bc applied the 1
applied the principles 1
the principles ofagatharchos 1
principles ofagatharchos to 1
ofagatharchos to figures 1
to figures according 1
figures according to 1
according to plutarch 1
to plutarch he 1
plutarch he was 1
he was the 12
was the first 10
the first todiscover 1
first todiscover variation 1
todiscover variation in 1
variation in the 1
in the shade 1
the shade of 1
shade of colors 1
of colors and 2
colors and according 1
and according to 1
according to plinythe 1
to plinythe first 1
plinythe first master 1
first master to 1
master to paint 1
to paint objects 1
paint objects as 1
objects as they 1
as they appeared 1
they appeared in 1
appeared in nature 1
in nature he 1
nature he hadthe 1
he hadthe title 1
hadthe title of 1
title of skiagraphos 1
of skiagraphos shadowpainter 1
skiagraphos shadowpainter and 1
shadowpainter and possibly 1
and possibly gave 1
possibly gave aseminatural 1
gave aseminatural background 1
aseminatural background with 1
background with perspective 1
with perspective this 1
perspective this was 1
this was an 1
was an improvement 1
an improvement butnot 1
improvement butnot a 1
butnot a perfection 1
a perfection it 1
perfection it is 1
is not likely 1
not likely that 1
likely that the 1
that the backgrounds 1
the backgrounds were 2
backgrounds were otherthan 1
were otherthan conventional 1
otherthan conventional settings 1
conventional settings for 1
settings for the 1
the figure even 1
figure even these 1
even these were 1
these were not 1
were not at 2
not at onceaccepted 1
at onceaccepted by 1
onceaccepted by the 1
by the painters 3
painters of the 11
of the period 2
the period but 1
period but were 1
but were turned 1
were turned to 1
turned to profit 1
to profit inthe 1
profit inthe hands 1
inthe hands of 1
hands of the 2
of the followersafter 1
the followersafter the 1
followersafter the peloponnesian 1
the peloponnesian wars 2
peloponnesian wars the 1
wars the art 1
art of painting 2
of painting seems 1
painting seems to 3
seems to haveflourished 1
to haveflourished elsewhere 1
haveflourished elsewhere than 1
elsewhere than in 1
than in athens 1
in athens owing 1
athens owing to 1
owing to the 3
to the athenian 1
the athenian loss 1
athenian loss ofsupremacy 1
loss ofsupremacy other 1
ofsupremacy other schools 1
other schools sprang 1
schools sprang up 1
sprang up in 1
up in various 1
in various districts 1
various districts and 1
districts and one 1
and one tocall 1
one tocall for 1
tocall for considerable 1
for considerable mention 1
considerable mention by 1
mention by the 1
ancient writers was 1
writers was theionian 1
was theionian school 1
theionian school which 1
school which in 1
which in reality 1
in reality had 1
reality had existed 1
had existed from 1
existed from the 1
from the sixth 1
the sixth centurythe 1
sixth centurythe painters 1
centurythe painters of 1
painters of this 1
of this school 3
this school advanced 1
school advanced upon 1
advanced upon the 1
upon the work 1
work of apollodorus 1
of apollodorus asregards 1
apollodorus asregards realistic 1
asregards realistic effect 1
realistic effect zeuxis 1
effect zeuxis whose 1
zeuxis whose fame 1
whose fame was 1
fame was at 1
was at its 2
at its height 1
its height duringthe 1
height duringthe peloponnesian 1
duringthe peloponnesian wars 1
peloponnesian wars seems 1
wars seems to 1
to have regarded 1
have regarded art 1
regarded art as 1
art as a 3
as a matter 2
a matter ofillusion 1
matter ofillusion if 1
ofillusion if one 1
if one may 1
one may judge 1
may judge by 1
judge by the 1
by the stories 1
the stories told 1
stories told of 1
told of his 1
of his work 9
his work the 2
work the taleof 1
the taleof his 1
taleof his painting 1
his painting a 1
painting a bunch 1
a bunch of 1
bunch of grapes 1
of grapes so 1
grapes so like 1
so like reality 1
like reality that 1
reality that the 1
that the birds 1
the birds cameto 1
birds cameto peck 1
cameto peck at 1
peck at them 1
at them proves 1
them proves either 1
proves either that 1
either that the 1
that the painters 2
the painters motive 1
painters motive was 1
motive was deceptionor 1
was deceptionor that 1
deceptionor that the 1
that the narrator 1
the narrator of 1
narrator of the 1
of the tale 1
the tale picked 1
tale picked out 1
picked out the 1
out the deceptive 1
the deceptive part 1
deceptive part of 1
part of hispicture 1
of hispicture for 1
hispicture for admiration 1
for admiration he 1
admiration he painted 1
he painted many 3
painted many subjects 2
many subjects like 1
subjects like helenpenelope 1
like helenpenelope and 1
helenpenelope and many 1
and many genre 1
many genre pieces 1
genre pieces on 1
pieces on panel 1
on panel quintilian 1
panel quintilian says 1
quintilian says heoriginated 1
says heoriginated lightandshade 1
heoriginated lightandshade an 1
lightandshade an achievement 1
an achievement credited 1
achievement credited by 1
credited by plutarch 1
by plutarch toapollodorus 1
plutarch toapollodorus it 1
toapollodorus it is 1
it is probable 1
is probable that 3
probable that he 2
that he advanced 1
he advanced lightandshadein 1
advanced lightandshadein illusion 1
lightandshadein illusion he 1
illusion he seems 1
he seems to 1
have been outdone 1
been outdone by 1
outdone by a 1
by a rival 1
a rival parrhasios 1
rival parrhasios ofephesus 1
parrhasios ofephesus zeuxis 1
ofephesus zeuxis deceived 1
zeuxis deceived the 1
deceived the birds 1
the birds with 1
birds with painted 1
with painted grapes 1
painted grapes but 1
grapes but parrhasiosdeceived 1
but parrhasiosdeceived zeuxis 1
parrhasiosdeceived zeuxis with 1
zeuxis with a 1
with a painted 1
a painted curtain 1
painted curtain there 1
curtain there must 1
there must have 1
must have been 1
have been knowledgeof 1
been knowledgeof color 1
knowledgeof color modelling 1
color modelling and 1
modelling and relief 1
and relief to 1
relief to have 1
to have produced 1
have produced such 1
produced such an 1
such an illusion 1
an illusion butthe 1
illusion butthe aim 1
butthe aim was 1
aim was petty 1
was petty and 1
petty and unworthy 2
and unworthy of 1
unworthy of the 2
of the skill 1
the skill there 1
skill there was 1
there was evidently 1
was evidently anadvance 1
evidently anadvance technically 1
anadvance technically but 1
technically but some 1
but some decline 1
some decline in 1
decline in the 1
in the true 1
the true spirit 1
true spirit of 1
spirit of artparrhasios 1
of artparrhasios finally 1
artparrhasios finally suffered 1
finally suffered defeat 1
suffered defeat at 1
defeat at the 1
at the hands 1
the hands of 3
hands of timanthes 1
of timanthes ofkythnos 1
timanthes ofkythnos by 1
ofkythnos by a 1
by a contest 1
a contest between 1
contest between ajax 1
between ajax and 1
ajax and ulysses 1
and ulysses for 1
ulysses for the 1
for the arms 1
the arms ofachilles 1
arms ofachilles timanthess 1
ofachilles timanthess famous 1
timanthess famous work 1
famous work was 1
work was the 1
was the sacrifice 1
the sacrifice of 1
sacrifice of iphigenia 1
of iphigenia ofwhich 1
iphigenia ofwhich there 1
ofwhich there is 1
there is a 6
is a supposed 1
a supposed pompeian 1
supposed pompeian copysikyonian 1
pompeian copysikyonian school 1
copysikyonian school this 1
school this school 4
this school seems 1
school seems to 3
to have sprung 1
have sprung up 1
sprung up after 1
up after thepeloponnesian 1
after thepeloponnesian wars 1
thepeloponnesian wars and 1
wars and was 1
and was perhaps 2
was perhaps founded 1
perhaps founded by 1
founded by eupompos 1
by eupompos acontemporary 1
eupompos acontemporary of 1
acontemporary of parrhasios 1
of parrhasios his 1
parrhasios his pupil 1
his pupil pamphilos 1
pupil pamphilos brought 1
pamphilos brought the 1
brought the school 1
the school tomaturity 1
school tomaturity he 1
tomaturity he apparently 1
he apparently reacted 1
apparently reacted from 1
reacted from the 1
from the deception 1
the deception motive 1
deception motive of 1
motive of zeuxisand 1
of zeuxisand parrhasios 1
zeuxisand parrhasios and 1
parrhasios and taught 1
and taught academic 1
taught academic methods 1
academic methods of 1
methods of drawing 1
of drawing composing 1
drawing composing andpainting 1
composing andpainting he 1
andpainting he was 1
he was also 3
was also credited 1
also credited with 1
credited with bringing 1
with bringing into 1
bringing into use 1
into use the 1
use the encausticmethod 1
the encausticmethod of 1
encausticmethod of painting 1
of painting though 1
painting though it 1
though it was 1
was probably known 1
probably known before 1
known before his 1
before his time 2
his time hispupil 1
time hispupil pausias 1
hispupil pausias possessed 1
pausias possessed some 1
possessed some freedom 1
some freedom of 1
freedom of creation 1
of creation in 1
creation in genre 1
in genre andstilllife 1
genre andstilllife subjects 1
andstilllife subjects pliny 1
subjects pliny says 1
pliny says he 1
says he had 1
he had great 1
had great technical 1
great technical skill 1
technical skill as 1
skill as shownin 1
as shownin the 1
shownin the foreshortening 1
the foreshortening of 1
foreshortening of a 1
of a black 1
a black ox 1
black ox by 1
ox by variations 1
by variations of 1
variations of the 1
of the black 1
the black tonesand 1
black tonesand he 1
tonesand he obtained 1
he obtained some 1
obtained some fame 1
some fame by 1
fame by a 1
by a figure 1
a figure of 1
figure of methe 1
of methe intoxication 1
methe intoxication drinkingfrom 1
intoxication drinkingfrom a 1
drinkingfrom a glass 1
a glass the 1
glass the face 1
the face being 1
face being seen 1
being seen through 1
seen through the 1
through the glass 1
the glass again 1
glass again themotives 1
again themotives seem 1
themotives seem trifling 1
seem trifling but 1
trifling but again 1
but again advancing 1
again advancing technical 1
advancing technical power 1
technical power is 1
power is shownillustration 1
is shownillustration fig 1
shownillustration fig odyssey 1
fig odyssey landscape 1
odyssey landscape vatican 1
landscape vatican from 1
vatican from woltmann 1
from woltmann andwoermannthebanattic 1
woltmann andwoermannthebanattic school 1
andwoermannthebanattic school this 1
school this was 1
was the fourth 1
the fourth school 1
fourth school of 1
school of greek 1
of greek paintingnikomachus 1
greek paintingnikomachus fl 1
paintingnikomachus fl about 1
fl about bc 2
about bc a 1
bc a facile 1
a facile painter 1
facile painter was 1
painter was at 1
at its headhis 1
its headhis pupil 1
headhis pupil aristides 1
pupil aristides painted 1
aristides painted pathetic 1
painted pathetic scenes 1
pathetic scenes and 1
scenes and was 1
was perhaps asremarkable 1
perhaps asremarkable for 1
asremarkable for teaching 1
for teaching art 1
teaching art to 1
to the celebrated 1
the celebrated euphranor 1
celebrated euphranor fl 1
euphranor fl bcas 1
fl bcas for 1
bcas for his 1
for his own 1
his own productions 1
own productions euphranor 1
productions euphranor had 1
euphranor had great 1
had great versatility 1
great versatility in 1
versatility in thearts 1
in thearts and 1
thearts and in 1
in painting was 1
painting was renowned 1
was renowned for 1
renowned for his 1
for his pictures 1
his pictures of 1
pictures of the 2
of the olympiangods 1
the olympiangods at 1
olympiangods at athens 1
at athens his 1
athens his successor 1
his successor nikias 1
successor nikias fl 1
nikias fl bc 1
fl bc was 1
bc was acontemporary 1
was acontemporary of 1
acontemporary of praxiteles 1
of praxiteles the 1
praxiteles the sculptor 1
the sculptor and 1
sculptor and was 1
and was possibly 1
was possibly influencedby 1
possibly influencedby him 1
influencedby him in 1
him in the 5
in the painting 2
painting of female 1
of female figures 1
female figures he 1
figures he was 1
he was a 62
was a technician 2
a technician ofability 1
technician ofability in 1
ofability in composition 1
in composition lightandshade 1
composition lightandshade and 1
lightandshade and relief 2
and relief and 1
relief and was 1
and was praisedfor 1
was praisedfor the 1
praisedfor the roundness 1
the roundness of 1
roundness of his 1
of his figures 1
his figures he 1
figures he also 1
he also did 1
also did some 1
did some tinting 1
some tinting ofsculpture 1
tinting ofsculpture and 1
ofsculpture and is 1
and is said 2
is said to 3
said to have 6
to have tinted 1
have tinted some 1
tinted some of 1
of the works 3
the works ofpraxiteleslate 1
works ofpraxiteleslate painters 1
ofpraxiteleslate painters contemporary 1
painters contemporary with 1
contemporary with and 1
with and following 1
and following these 1
following these lastnamedartists 1
these lastnamedartists were 1
lastnamedartists were some 1
were some celebrated 2
some celebrated painters 2
celebrated painters who 1
painters who really 2
who really belong 2
really belong to 1
belong to thebeginning 1
to thebeginning of 1
thebeginning of the 3
of the hellenistic 1
the hellenistic period 1
hellenistic period bc 1
period bc at 1
bc at their 1
at their head 1
their head wasapelles 1
head wasapelles the 1
wasapelles the painter 1
the painter of 2
painter of philip 1
of philip and 1
philip and alexander 1
and alexander and 1
alexander and the 1
and the climax 1
the climax of 2
climax of greekpainting 1
of greekpainting he 1
greekpainting he painted 1
painted many gods 1
many gods heroes 1
gods heroes and 1
heroes and allegories 1
and allegories with 1
allegories with muchgracefulness 1
with muchgracefulness as 1
muchgracefulness as pliny 1
as pliny puts 1
pliny puts it 1
puts it the 1
it the italian 1
the italian botticelli 1
italian botticelli seventeenhundred 1
botticelli seventeenhundred years 1
seventeenhundred years after 1
years after him 1
after him tried 1
him tried to 1
tried to reproduce 1
to reproduce his 1
reproduce his celebrated 1
his celebrated calumnyfrom 1
celebrated calumnyfrom lucians 1
calumnyfrom lucians description 1
lucians description of 1
description of it 1
of it his 1
it his chief 1
his chief works 1
chief works were 1
works were his 1
were his aphroditeanadyomene 1
his aphroditeanadyomene carried 1
aphroditeanadyomene carried to 1
carried to rome 1
to rome by 1
rome by augustus 1
by augustus and 1
augustus and the 1
and the portrait 1
the portrait of 1
portrait of alexanderwith 1
of alexanderwith the 1
alexanderwith the thunderbolt 1
the thunderbolt he 1
thunderbolt he was 1
he was undoubtedly 2
was undoubtedly a 1
undoubtedly a superior 1
a superior man 3
superior man technicallyprotogenes 1
man technicallyprotogenes rivalled 1
technicallyprotogenes rivalled him 1
rivalled him if 1
him if we 1
if we are 1
we are to 1
are to believe 1
to believe petronius 1
believe petronius by 1
petronius by the 1
by the foamon 1
the foamon a 1
foamon a dogs 1
a dogs mouth 1
dogs mouth and 1
mouth and the 1
and the wonder 1
the wonder in 1
wonder in the 1
in the eye 1
the eye of 1
eye of a 1
of a startled 1
a startled pheasantaetion 1
startled pheasantaetion the 1
pheasantaetion the painter 1
painter of alexanders 1
of alexanders marriage 1
alexanders marriage to 1
marriage to roxana 1
to roxana was 1
roxana was not 1
was not able 1
not able toturn 1
able toturn the 1
toturn the aim 1
aim of painting 1
of painting from 1
painting from this 1
from this deceptive 1
this deceptive illusion 1
deceptive illusion afteralexander 1
illusion afteralexander painting 1
afteralexander painting passed 1
painting passed still 1
passed still further 1
still further into 1
further into the 1
into the imitative 1
the imitative and 1
imitative and thetheatrical 1
and thetheatrical and 1
thetheatrical and when 1
and when not 1
when not grandiloquent 1
not grandiloquent was 1
grandiloquent was infinitely 1
was infinitely little 1
infinitely little overcobblershops 1
little overcobblershops and 1
overcobblershops and hucksterstalls 1
and hucksterstalls landscape 1
hucksterstalls landscape for 1
landscape for purposes 1
for purposes ofdecorative 1
purposes ofdecorative composition 1
ofdecorative composition and 1
composition and floor 1
and floor painting 1
floor painting done 1
painting done in 1
done in mosaic 1
in mosaic came 1
mosaic came induring 1
came induring the 1
induring the time 1
the time of 6
time of the 5
of the diadochi 1
the diadochi there 1
diadochi there were 1
there were no 3
were no great 1
no great names 1
great names in 1
names in thelatter 1
in thelatter days 1
thelatter days and 1
days and such 1
and such painters 1
such painters as 2
painters as still 1
as still flourished 1
still flourished passed 1
flourished passed on 1
passed on to 1
on to romethere 1
to romethere to 1
romethere to produce 1
to produce copies 1
produce copies of 1
copies of the 2
the works of 6
works of their 1
of their predecessorsit 1
their predecessorsit is 1
predecessorsit is hard 1
is hard to 1
hard to reconcile 1
to reconcile the 1
reconcile the unworthy 1
the unworthy motive 1
unworthy motive attributed 1
motive attributed to 1
attributed to greekpainting 1
to greekpainting by 1
greekpainting by the 1
ancient writers with 1
writers with the 1
with the high 1
the high aim 1
high aim of 1
aim of greek 1
of greek sculptureit 1
greek sculptureit is 1
sculptureit is easier 1
is easier to 1
easier to think 1
to think and 1
think and it 1
it is more 1
is more probable 1
more probable that 1
probable that the 2
that the writers 1
the writers knewvery 1
writers knewvery little 1
knewvery little about 1
little about art 1
about art and 1
art and that 2
and that they 3
that they missed 1
they missed the 1
missed the spirit 2
the spirit of 3
spirit of greekpainting 1
of greekpainting in 1
greekpainting in admiring 1
in admiring its 1
admiring its insignificant 1
its insignificant details 1
insignificant details that 1
details that paintingtechnically 1
that paintingtechnically was 1
paintingtechnically was at 1
was at a 1
at a high 1
a high point 1
high point of 1
of perfection as 1
perfection as regards 1
as regards the 3
regards the figureeven 1
the figureeven the 1
figureeven the imitative 1
the imitative roman 1
imitative roman works 1
roman works indicate 1
works indicate and 1
indicate and it 1
and it can 1
it can hardly 2
can hardly be 4
hardly be doubtedthat 1
be doubtedthat in 1
doubtedthat in spirit 1
in spirit it 2
spirit it was 2
was at one 2
one time equally 1
time equally strong 1
equally strong extant 1
strong extant remains 1
extant remains there 1
remains there are 1
are few wall 1
few wall or 1
wall or panel 1
panel pictures of 1
pictures of greek 1
of greek times 1
greek times in 1
times in existence 1
in existence four 1
existence four slabs 1
four slabs of 1
slabs of stone 1
of stone in 1
stone in the 1
in the naples 1
the naples museum 2
naples museum with 1
museum with red 1
with red outline 1
red outline drawings 1
outline drawings of 1
drawings of theseus 1
of theseus silenos 1
theseus silenos and 1
silenos and some 1
and some figures 1
some figures with 1
figures with masks 1
with masks are 1
masks are probably 1
are probably greek 1
probably greek work 1
greek work from 1
work from which 1
from which the 1
which the color 1
color has scaled 1
has scaled a 1
scaled a number 1
number of roman 1
of roman copies 1
roman copies of 1
copies of greek 1
of greek frescos 1
greek frescos and 1
frescos and mosaics 1
and mosaics are 1
mosaics are in 1
in the vatican 3
the vatican capitoline 1
vatican capitoline and 1
capitoline and naples 1
and naples museums 1
naples museums all 1
museums all these 1
all these pieces 1
these pieces show 1
pieces show an 1
show an imitation 1
an imitation of 2
imitation of late 1
of late hellenistic 1
late hellenistic artnot 1
hellenistic artnot the 1
artnot the best 1
the best period 1
best period of 1
period of greek 1
of greek development 1
greek development the 1
development the vases 1
the vases the 2
vases the history 1
greek painting in 1
painting in its 1
in its remains 1
its remains is 1
remains is traced 1
is traced with 1
traced with some 1
with some accuracy 1
some accuracy in 1
accuracy in the 1
in the decorative 1
the decorative figures 1
decorative figures upon 1
figures upon the 1
upon the vases 1
vases the first 1
the first waredating 1
first waredating before 1
waredating before the 1
before the seventh 1
the seventh century 3
seventh century bcseems 1
century bcseems free 1
bcseems free from 1
free from oriental 1
from oriental influences 1
oriental influences in 1
influences in its 1
in its designs 1
its designs the 1
designs the vase 1
the vase is 1
vase is reddish 1
is reddish the 1
reddish the decoration 1
the decoration is 2
decoration is in 1
is in tiers 1
in tiers bands 1
tiers bands or 1
bands or zigzags 1
or zigzags usually 1
zigzags usually in 1
usually in black 1
in black or 2
black or brown 1
or brown without 1
brown without the 1
without the human 1
figure the second 1
the second kind 1
second kind of 1
kind of ware 3
of ware dates 2
ware dates from 1
dates from about 2
from about the 2
about the middle 2
the middle of 2
of the seventh 1
seventh century it 1
century it shows 1
it shows meander 1
shows meander wave 1
meander wave and 1
wave and other 1
and other designs 1
other designs and 1
designs and is 1
and is called 1
is called the 2
called the geometrical 1
the geometrical style 1
geometrical style later 1
style later on 1
later on animals 1
on animals rosettes 1
animals rosettes and 1
rosettes and vegetation 1
and vegetation appear 1
vegetation appear that 1
appear that show 1
that show assyrian 1
show assyrian influence 1
assyrian influence the 1
influence the decoration 1
decoration is profuse 1
is profuse and 1
profuse and the 1
and the rude 1
the rude human 1
rude human figure 1
human figure subordinate 1
figure subordinate to 1
subordinate to it 1
to it the 1
it the design 1
the design is 1
design is in 1
is in black 1
black or darkbrown 1
or darkbrown on 1
darkbrown on a 1
on a creamcolored 1
a creamcolored slip 1
creamcolored slip the 1
slip the third 1
the third kind 1
third kind of 1
of ware is 1
ware is the 1
is the archaic 1
the archaic or 1
archaic or strong 1
or strong style 1
strong style it 1
style it dates 1
it dates from 1
dates from bc 1
from bc to 1
bc to the 1
to the peloponnesian 1
peloponnesian wars and 1
wars and is 1
and is marked 1
is marked by 1
marked by black 1
by black figures 1
black figures upon 1
figures upon a 1
upon a yellow 1
a yellow or 1
yellow or red 1
or red ground 1
red ground white 1
ground white and 1
white and purple 1
